BROOD_YEAR,Trap_Date,Location_of_Capture,Gender,fork_length_mm,Floy_ID,Pit_ID,RETENTION,Comments
2016,2/7/2016,MFCF,M,91,Orange 181,A23C,MORTALITY,Mortality 3/23
2016,2/19/2016,MFCF,M,69,Blue 604,A228,SPAWNED,Spawned 4/26 w/ Female MH16-024
2016,2/26/2016,MFCF,F,71,Pink/Blue 2026,A1F1,SPAWNED,Spawned 4/15 w/ Males TN16-003 & TN16-010
2016,2/29/2016,MFCF,M,83,White 245,A1E6,SPAWNED,Spawned 4/8 w/ Female MH16-005 & TN16-013
2016,3/8/2016,MFCF,F,63,Yellow 1125,A232,SPAWNED,Spawned 4/8 w/ Male MH16-004 & MH16-007 
2016,3/18/2016,MFCF,M,68,Blue 623,A202,MORTALITY,Mortality 4/3
2016,3/23/2016,MFCF,M,56,White 243,A22B,SPAWNED,Spawned 4/8 w/ Female MH16-005 & TN16-013
2016,3/25/2016,MFCF,F,74,Green 24,A233,SPAWNED,Spawned 4/15 w/ Males TN16-003 & TN16-010
2016,4/1/2016,MFCF,F,71,Orange 183,A220,MORTALITY,Mortality 4/21
2016,4/6/2016,MFCF,F,67,White 241,A244,SPAWNED,Spawned 4/15 w/ Males MH16-014 & MH16-017
2016,4/7/2016,MFCF,F,77,White 240,A23D,SPAWNED,Spawned 4/15 w/ Male TN16-018 & MH16-018
2016,4/7/2016,MFCF,M,80,White 239,A1F3,SPAWNED,Spawned 4/22 w/ Female MH16-015 & TN16-027
2016,4/11/2016,MFCF,M,88,White 238,A215,SPAWNED,Spawned 4/15 w/ Females MH16-011 & TN16-015
2016,4/11/2016,MFCF,F,65,White 237,A204,SPAWNED,Spawned 4/22 w/ Male TN16-042 & MH16-013
2016,4/12/2016,MFCF,F,72,Yellow 601,D2A2,SPAWNED,Spawned 4/15 w/ Male TN16-018 & MH16-018
2016,4/12/2016,MFCF,M,69,Yellow 602,D293,SPAWNED,Spawned 4/15 w/ Females MH16-011 & TN16-015
2016,4/12/2016,MFCF,M,72,Yellow 603,D2AF,SPAWNED,Spawned 4/15 w/ Females MH16-012 & MH16-016
2016,4/14/2016,MFCF,M,46,Pink/Blue 28,D29A,SPAWNED,Spawned 4/29 w/ Female MH16-025
2016,4/15/2016,MFCF,F,62,Pink/Blue 30,D29F,RTR,
2016,4/26/2016,MFCF,F,73,Green 21,D2B0,SPAWNED,Spawned 4/26 w/ Male MH16-002 & TN16-021
2016,4/26/2016,MFCF,F,63,Green 22,D2AA,SPAWNED,Spawned 5/9 w/ Male TN16-082 & TN16-090
2016,4/28/2016,MFCF,F,78,Pink 47,D294,SPAWNED,Spawned 4/29 w/ Male MH16-020 & TN16-024
2016,4/28/2016,MFCF,M,82,Pink 46,D2C2,,
2016,5/2/2016,MFCF,M,69,Green 8,D298,,
2016,5/2/2016,MFCF,M,73,Green 9,D29E,,
2016,5/2/2016,MFCF,F,67,Green 10,D2ED,,
